tuid,source_segment,target_segment,domain
51,To outsource means an external organization performs part of an organization's function.,"Передавать на аутсорсинг означает, что внешняя организация выполняет часть функций организации.",Cybersecurity / Information security
52,Performance is a measurable result.,Показатель деятельности — это измеримый результат.,Cybersecurity / Information security
53,"A policy is the intentions and direction of an organization, formally expressed by top management.","Политика — это намерения и направление развития организации, официально сформулированные высшим руководством.",Cybersecurity / Information security
54,A process is a set of interrelated activities which transforms inputs into outputs.,"Процесс — это совокупность взаимосвязанных видов деятельности, которая преобразует входы в выходы.",Cybersecurity / Information security
55,Reliability is the property of consistent intended behaviour and results.,Надежность — это свойство соответствия предполагаемому поведению и результатам.,Cybersecurity / Information security
56,"A requirement is a need or expectation that is stated, implied or obligatory.","Требование — это потребность или ожидание, которое установлено, подразумевается или является обязательным.",Cybersecurity / Information security
57,Residual risk is the risk remaining after risk treatment.,"Остаточный риск — это риск, оставшийся после обработки риска.",Cybersecurity / Information security
58,"A review determines the suitability, adequacy and effectiveness of the subject matter.","Анализ определяет пригодность, адекватность и результативность объекта анализа.",Cybersecurity / Information security
59,A review object is a specific item being reviewed.,"Объект анализа — это конкретный объект, подвергаемый анализу.",Cybersecurity / Information security
60,A review objective describes what is to be achieved as a result of a review.,"Цель анализа описывает, что должно быть достигнуто в результате анализа.",Cybersecurity / Information security
61,Risk is the effect of uncertainty on objectives.,Риск — это влияние неопределенности на цели.,Cybersecurity / Information security
62,Risk acceptance is an informed decision to take a particular risk.,Принятие риска — это обоснованное решение согласиться с конкретным риском.,Cybersecurity / Information security
63,Risk analysis is a process to comprehend the nature of risk and to determine the level of risk.,Анализ риска — это процесс понимания характера риска и определения уровня риска.,Cybersecurity / Information security
64,"Risk assessment is the overall process of risk identification, analysis and evaluation.","Оценка риска — это единый процесс идентификации риска, анализа риска и определения степени риска.",Cybersecurity / Information security
65,Risk communication and consultation involve dialogue with stakeholders regarding risk.,Обмен информацией по рискам и консультации включают диалог с заинтересованными сторонами по вопросам риска.,Cybersecurity / Information security
66,Risk criteria are terms of reference against which the significance of risk is evaluated.,"Критерий риска — это эталонные условия, в сравнении с которыми оценивают значимость риска.",Cybersecurity / Information security
67,Risk evaluation compares the results of risk analysis with risk criteria.,Определение степени риска сравнивает результаты анализа риска с критериями риска.,Cybersecurity / Information security
68,"Risk identification is the process of finding, recognizing and describing risks.","Идентификация риска — это процесс поиска, распознавания и описания рисков.",Cybersecurity / Information security
69,Risk management is coordinated activities to direct and control an organization with regard to risk.,Менеджмент риска — это скоординированные действия по руководству и управлению организацией в отношении рисков.,Cybersecurity / Information security
70,The risk management process applies policies and procedures to risk activities.,Процесс менеджмента риска применяет политики и процедуры к действиям по управлению риском.,Cybersecurity / Information security
71,A risk owner has the accountability and authority to manage a risk.,Владелец риска обладает ответственностью и полномочиями для менеджмента риска.,Cybersecurity / Information security
72,Risk treatment is a process to modify risk.,"Обработка риска — это процесс, нацеленный на изменение риска.",Cybersecurity / Information security
73,A security implementation standard specifies authorized ways for realizing security.,Стандарт обеспечения безопасности устанавливает разрешенные методы обеспечения безопасности.,Cybersecurity / Information security
74,A threat is a potential cause of an unwanted incident.,Угроза — это возможная причина нежелательного инцидента.,Cybersecurity / Information security
75,Top management directs and controls an organization at the highest level.,Высшее руководство направляет и управляет организацией на высшем уровне.,Cybersecurity / Information security
76,A trusted information communication entity supports information exchange within a community.,Доверенный участник информационного сообщества поддерживает информационное взаимодействие в рамках сообщества.,Cybersecurity / Information security
77,A vulnerability is a weakness of an asset or control that can be exploited by threats.,"Уязвимость — это слабое место актива или средства управления, через которое может реализоваться угроза.",Cybersecurity / Information security
78,Access is obtaining the use of a resource.,Доступ — это получение возможности использования ресурса.,Cybersecurity / Information security
79,An access right is permission for a subject to access a particular object.,Право доступа — это разрешение субъекту на доступ к определенному объекту.,Cybersecurity / Information security
80,"Authorization is the granting of rights, including access based on access rights.","Санкционирование — это предоставление прав, включая предоставление доступа на основе прав доступа.",Cybersecurity / Information security
81,Cryptography embodies principles and methods for the transformation of data.,Криптография воплощает принципы и методы преобразования данных.,Cybersecurity / Information security
82,Decryption is the process of obtaining original data from a ciphertext.,Расшифрование — это процесс получения исходных данных из шифрограммы.,Cybersecurity / Information security
83,Encryption is the cryptographic transformation of data.,Шифрование — это криптографическое преобразование данных.,Cybersecurity / Information security
84,Identity authentication enables a system to recognize entities.,Аутентификация личности позволяет системе распознавать субъекты.,Cybersecurity / Information security
85,Logical access control uses mechanisms related to data to provide access control.,"Логическое управление доступом использует механизмы, связанные с данными, для обеспечения управления доступом.",Cybersecurity / Information security
86,Message authentication verifies that a message was sent by the purported originator.,"Аутентификация сообщения проверяет, что сообщение было отправлено заявленным отправителем.",Cybersecurity / Information security
87,A message authentication code is a function of data and a secret key.,Код аутентификации сообщений — это функция данных и секретного ключа.,Cybersecurity / Information security
88,Physical access control uses physical mechanisms to provide access control.,Физическое управление доступом использует физические механизмы для обеспечения управления доступом.,Cybersecurity / Information security
89,A private key is intended for decryption for the exclusive use by its owner.,Закрытый ключ предназначен для расшифрования и используется исключительно его владельцем.,Cybersecurity / Information security
90,A public key is intended for use by any entity for encrypted communication.,Открытый ключ предназначен для использования любой стороной для зашифрованной связи.,Cybersecurity / Information security
91,A secret key is intended for use by a limited number of correspondents.,Секретный ключ предназначен для использования ограниченным числом корреспондентов.,Cybersecurity / Information security
92,A security audit is an independent review of data processing system records.,Аудит безопасности — это независимая проверка документации системы обработки данных.,Cybersecurity / Information security
93,A security clearance is permission to access data at or below a particular security level.,Разрешение безопасности — это разрешение на доступ к данным на определенном уровне безопасности или ниже.,Cybersecurity / Information security
94,A security filter enforces a security policy on the data that pass through it.,Фильтр безопасности обеспечивает соблюдение политики безопасности для проходящих через него данных.,Cybersecurity / Information security
95,A security policy is a plan or course of action adopted for providing computer security.,Политика безопасности — это план или способ действий по обеспечению компьютерной безопасности.,Cybersecurity / Information security
96,Sensitive information must be protected because its disclosure will cause perceivable damage.,"Конфиденциальная информация должна быть защищена, поскольку ее раскрытие причинит ощутимый ущерб.",Cybersecurity / Information security
97,A subject is an active entity that can access objects.,"Субъект доступа — это активный компонент системы, который может обращаться к объектам.",Cybersecurity / Information security
98,System integrity means the system fulfils its operational purpose securely.,"Целостность системы означает, что система безопасно выполняет свое операционное назначение.",Cybersecurity / Information security
99,A trusted computer system provides sufficient computer security for concurrent access.,Доверенная компьютерная система обеспечивает достаточную компьютерную безопасность для параллельного доступа.,Cybersecurity / Information security
100,An identity token is a device used for identity authentication.,"Идентификационный маркер — это устройство, используемое для аутентификации личности.",Cybersecurity / Information security
